FILE LEVEL HEADERS
Interchang,Group_ID,File_ID,Report_Dt,Sender,Receiver,Vendor_ID
852103694,PD,2677134,20251116,SAMS CLUB,KRISPY KREME DOUGHNUT CORP,830430645

TRANSACTIONAL DATA
Ref_Num,UPC,Activity,Price,Store_ID,Quantity
IN,990402230,QS,12.29,0605388006059,3
IN,990402230,QS,12.29,0605388007391,7
IN,990402230,QS,12.29,0605388008473,13
IN,990402230,QS,12.29,0605388007476,17
IN,990402230,QS,12.29,0605388007438,14
IN,990402230,QS,12.29,0605388010957,14
IN,990402230,QS,12.29,0605388007759,23
IN,990402230,QS,12.29,0605388009593,3
IN,990402230,QS,12.29,0605388010216,8
IN,990402230,QS,12.29,0605388008428,21
IN,990402230,QS,13.74,0605388012548,6
IN,990402230,QS,12.29,0605388008886,7
IN,990402230,QS,12.29,0605388010339,5
IN,990402230,QS,12.29,0605388000200,11
IN,990402230,QS,12.29,0605388000255,26
IN,990402230,QS,12.29,0605388000262,5
IN,990402230,QS,12.29,0605388000484,4
IN,990402230,QS,12.29,0605388010346,12
IN,990402230,QS,12.29,0605388001023,5
IN,990402230,QS,12.29,0605388001108,6
IN,990402230,QS,12.29,0605388001139,4
IN,990402230,QS,12.29,0605388001146,9
IN,990402230,QS,12.29,0605388001214,7
IN,990402230,QS,12.29,0605388001269,19
IN,990402230,QS,12.29,0605388001283,14
IN,990402230,QS,12.29,0605388001313,4
IN,990402230,QS,12.29,0605388001351,5
IN,990402230,QS,12.29,0605388001689,11
IN,990402230,QS,12.29,0605388001702,2
IN,579155281,QS,7.18,0078742077857,2
IN,594727122,QS,11.72,0078742077857,4
IN,667296851,QS,7.18,0078742077857,3
IN,671128209,QS,3.44,0078742077857,2
